year,month,day,round,hometeamindex,awayteamindex,homewinodds,drawodds,awaywinodds,overtime,homescore,awayscore
2010,3,25,,14,3, 2.88 ,, 1.42 ,,64,120
2010,3,26,,7,5, 1.21 ,, 4.28 ,,125,94
2010,3,27,,11,10, 4.42 ,, 1.20 ,,61,117
2010,3,27,,2,17, 1.28 ,, 3.63 ,,114,82
2010,3,27,,16,15, 2.44 ,, 1.53 ,,88,96
2010,3,28,,13,12, 1.41 ,, 2.83 ,,96,82
2010,3,28,,18,4, 1.62 ,, 2.25 ,,93,129
2010,3,28,,6,1, 1.94 ,, 1.80 ,,118,62
2010,4,1,,2,3, 1.32 ,, 3.45 ,,107,88
2010,4,3,,4,11, 1.05 ,, 10.33 ,,86,85
2010,4,3,,17,13, 1.58 ,, 2.31 ,,86,89
2010,4,3,,15,12, 1.13 ,, 5.58 ,,143,39
2010,4,4,,1,16, 1.54 ,, 2.42 ,,75,118
2010,4,4,,5,6, 1.46 ,, 2.66 ,,69,113
2010,4,4,,14,18, 10.00 ,, 1.06 ,,48,120
2010,4,5,,10,7, 2.40 ,, 1.56 ,,91,100
2010,4,9,,15,4, 1.32 ,, 3.30 ,,69,41
2010,4,10,,12,17, 1.85 ,, 1.91 ,,116,91
2010,4,10,,13,2, 1.84 ,, 1.92 ,,81,108
2010,4,10,,16,14, 1.10 ,, 7.00 ,,111,56
2010,4,10,,3,5, 1.45 ,, 2.70 ,,75,95
2010,4,11,,11,1, 2.60 ,, 1.49 ,,57,41
2010,4,11,,18,10, 1.47 ,, 2.63 ,,100,84
2010,4,11,,6,7, 2.05 ,, 1.72 ,,125,118
2010,4,16,,17,5, 1.58 ,, 2.32 ,,101,78
2010,4,17,,12,16, 2.57 ,, 1.48 ,,60,100
2010,4,17,,1,3, 1.77 ,, 1.97 ,,55,103
2010,4,17,,4,10, 1.59 ,, 2.31 ,,123,59
2010,4,17,,2,18, 1.95 ,, 1.78 ,,101,79
2010,4,18,,14,11, 3.35 ,, 1.31 ,,78,133
2010,4,18,,7,13, 1.13 ,, 5.70 ,,159,64
2010,4,18,,15,6, 1.31 ,, 3.31 ,,108,93
2010,4,23,,18,1, 1.10 ,, 6.30 ,,121,72
2010,4,24,,16,17, 1.15 ,, 4.91 ,,115,63
2010,4,24,,11,2, 3.33 ,, 1.31 ,,103,53
2010,4,24,,13,15, 3.55 ,, 1.28 ,,54,44
2010,4,25,,4,5, 1.27 ,, 3.60 ,,120,55
2010,4,25,,10,12, 1.32 ,, 3.28 ,,70,82
2010,4,25,,6,14, 1.04 ,, 10.50 ,,112,73
2010,4,26,,3,7, 4.38 ,, 1.19 ,,104,68
2010,4,30,,18,15, 1.67 ,, 2.13 ,,46,49
2010,5,1,,12,11, 1.99 ,, 1.75 ,,104,78
2010,5,1,,1,13, 2.42 ,, 1.53 ,,74,97
2010,5,1,,16,2, 1.52 ,, 2.43 ,,107,87
2010,5,1,,5,10, 2.58 ,, 1.47 ,,106,63
2010,5,2,,7,14, 1.03 ,, 12.25 ,,161,53
2010,5,2,,3,4, 2.44 ,, 1.52 ,,102,155
2010,5,2,,17,6, 2.84 ,, 1.40 ,,73,111
