gameindex,year,month,day,round,hometeamindex,awayteamindex,homewinodds,drawodds,awaywinodds,overtime,homescore,awayscore
475,2012,3,24,,9,16,13.78,, 1.02 ,,37,100
476,2012,3,29,,14,3,2.48,, 1.52 ,,81,125
477,2012,3,30,,10,4,1.65,, 2.19 ,,137,115
478,2012,3,31,,11,2,1.42,, 2.81 ,,78,119
479,2012,3,31,,8,1,4.39,, 1.22 ,,68,137
480,2012,3,31,,6,7,1.96,, 1.79 ,,105,101
481,2012,3,31,,12,5,2.14,, 1.66 ,,102,104
482,2012,4,1,,18,17,2.25,, 1.60 ,,87,136
483,2012,4,1,,13,15,2.86,, 1.41 ,,89,85
484,2012,4,5,,2,3,3.46,, 1.30 ,,63,154
485,2012,4,7,,5,13,1.23,, 4.05 ,,111,86
486,2012,4,7,,16,6,1.67,, 2.15 ,,94,81
487,2012,4,7,,17,11,1.05,, 10.34 ,,166,58
488,2012,4,7,,1,18,1.21,, 4.26 ,,82,64
489,2012,4,7,,4,14,1.14,, 5.49 ,,85,64
490,2012,4,8,,12,9,1.01,, 15.94 ,,183,54
491,2012,4,8,,15,8,1.05,, 9.56 ,,139,47
492,2012,4,9,,7,10,2.48,, 1.53 ,,92,90
493,2012,4,13,,3,4,1.83,, 1.93 ,,122,62
494,2012,4,14,,13,16,2.58,, 1.48 ,,83,105
495,2012,4,14,,14,11,1.21,, 4.39 ,,133,74
496,2012,4,14,,6,2,1.09,, 7.32 ,,64,35
497,2012,4,14,,8,5,9.66,, 1.05 ,,88,105
498,2012,4,14,,18,15,2.49,, 1.52 ,,40,103
499,2012,4,15,,9,17,23.86,, 1.01 ,,69,150
500,2012,4,15,,10,1,1.17,, 4.90 ,,140,84
501,2012,4,15,,12,7,4.09,, 1.22 ,,131,114
502,2012,4,20,,15,6,1.4,, 2.87 ,,79,92
503,2012,4,21,,3,5,1.11,, 6.62 ,,79,109
504,2012,4,21,,4,13,1.22,, 4.10 ,,97,73
505,2012,4,21,,1,9,1.01,, 21.67 ,,96,50
506,2012,4,21,,17,10,1.6,, 2.29 ,,51,46
507,2012,4,21,,2,8,1.36,, 3.02 ,,111,46
508,2012,4,22,,7,14,1.15,, 5.19 ,,75,65
509,2012,4,22,,16,12,1.88,, 1.86 ,,113,77
510,2012,4,22,,11,18,2.99,, 1.37 ,,67,88
511,2012,4,25,,4,5,1.68,, 2.15 ,,80,79
512,2012,4,27,,6,3,2.18,, 1.66 ,,57,65
513,2012,4,28,,9,18,11.93,, 1.03 ,,62,104
514,2012,4,28,,12,8,1.01,, 15.53 ,,127,93
515,2012,4,28,,2,7,3.61,, 1.28 ,,41,79
516,2012,4,28,,11,15,6.64,, 1.10 ,,66,84
517,2012,4,29,,10,16,1.31,, 3.38 ,,69,106
518,2012,4,29,,14,17,3.13,, 1.35 ,,97,107
519,2012,4,29,,1,13,1.51,, 2.53 ,,110,91
520,2012,5,4,,18,4,6.83,, 1.10 ,,77,98
521,2012,5,5,,5,2,1.15,, 5.48 ,,129,62
522,2012,5,5,,7,11,1.03,, 11.68 ,,119,76
523,2012,5,5,,8,6,6.45,, 1.11 ,,87,94
524,2012,5,5,,15,10,3.6,, 1.28 ,,88,123
525,2012,5,5,,16,1,1.26,, 3.82 ,,94,99
526,2012,5,6,,3,9,1.01,, 23.67 ,,110,43
527,2012,5,6,,17,12,1.28,, 3.61 ,,120,95
528,2012,5,6,,13,14,2.19,, 1.66 ,,54,91
529,2012,5,11,,11,10,11.5,, 1.03 ,,49,115
530,2012,5,12,,1,7,2.04,, 1.76 ,,122,72
531,2012,5,12,,9,8,3.95,, 1.25 ,,94,67
532,2012,5,12,,14,16,1.82,, 1.94 ,,91,62
533,2012,5,12,,2,4,4.9,, 1.17 ,,58,116
534,2012,5,12,,5,17,1.57,, 2.37 ,,113,52
535,2012,5,13,,12,18,1.32,, 3.39 ,,83,101
536,2012,5,13,,6,13,1.14,, 5.69 ,,87,47
537,2012,5,14,,15,3,4.03,, 1.24 ,,122,98
538,2012,5,18,,4,7,1.61,, 2.29 ,,96,84
539,2012,5,19,,13,12,2.64,, 1.47 ,,95,93
540,2012,5,19,,10,6,1.19,, 4.61 ,,119,63
541,2012,5,19,,16,11,1.09,, 7.40 ,,138,37
542,2012,5,19,,18,8,1.14,, 5.48 ,,72,34
543,2012,5,19,,5,14,1.49,, 2.59 ,,128,109
544,2012,5,20,,2,9,1.15,, 5.54 ,,132,40
545,2012,5,20,,17,15,1.38,, 2.99 ,,121,91
546,2012,5,20,,3,1,1.41,, 2.85 ,,55,124
547,2012,5,25,,18,7,4.78,, 1.18 ,,75,95
548,2012,5,26,,14,10,3.61,, 1.28 ,,137,75
549,2012,5,26,,8,13,2.55,, 1.50 ,,70,118
550,2012,5,26,,15,16,1.89,, 1.86 ,,111,83
551,2012,5,26,,1,4,1.46,, 2.68 ,,49,75
552,2012,5,26,,9,5,17.14,, 1.01 ,,53,119
553,2012,5,27,,12,2,1.24,, 4.04 ,,112,96
554,2012,5,27,,17,6,1.35,, 3.12 ,,84,36
555,2012,5,27,,3,11,1.04,, 10.33 ,,107,49
556,2012,6,1,,15,14,1.85,, 1.91 ,,113,121
557,2012,6,2,,7,9,1.01,, 19.57 ,,126,61
558,2012,6,2,,10,12,1.26,, 3.81 ,,174,59
559,2012,6,2,,6,1,2.37,, 1.57 ,,82,111
560,2012,6,2,,13,3,3.11,, 1.36 ,,99,45
561,2012,6,2,,5,11,1.04,, 10.88 ,,52,58
562,2012,6,3,,2,17,4.67,, 1.19 ,,102,100
563,2012,6,3,,16,18,1.28,, 3.59 ,,132,40
564,2012,6,3,,4,8,1.01,, 16.31 ,,149,52
565,2012,6,8,,3,7,2.74,, 1.44 ,,85,97
566,2012,6,9,,14,6,1.2,, 4.43 ,,66,78
567,2012,6,9,,8,15,7.41,, 1.09 ,,49,144
568,2012,6,9,,5,16,1.5,, 2.55 ,,82,86
569,2012,6,10,,13,10,3.95,, 1.25 ,,62,108
570,2012,6,11,,11,4,8.9,, 1.06 ,,87,129
571,2012,6,14,,17,3,1.28,, 3.66 ,,79,69
572,2012,6,15,,1,15,1.47,, 2.67 ,,115,111
573,2012,6,16,,9,14,10.93,, 1.04 ,,74,86
574,2012,6,16,,8,12,5.21,, 1.16 ,,80,87
575,2012,6,17,,10,2,1.06,, 8.94 ,,135,70
576,2012,6,17,,18,13,1.45,, 2.77 ,,95,57
577,2012,6,22,,16,7,1.6,, 2.30 ,,80,74
578,2012,6,23,,18,2,1.36,, 3.09 ,,56,114
579,2012,6,23,,4,17,1.4,, 2.91 ,,85,82
580,2012,6,23,,6,5,2.2,, 1.65 ,,89,113
581,2012,6,24,,11,9,1.28,, 3.67 ,,135,57
582,2012,6,24,,12,1,3.12,, 1.35 ,,121,89
583,2012,6,29,,3,10,3.43,, 1.30 ,,70,120
584,2012,6,30,,1,14,1.4,, 2.88 ,,106,87
585,2012,6,30,,4,6,1.1,, 7.11 ,,107,78
586,2012,6,30,,17,8,1.01,, 19.42 ,,166,40
587,2012,6,30,,5,18,1.19,, 4.61 ,,140,56
588,2012,6,30,,16,9,1.01,, 19.94 ,,132,38
589,2012,7,1,,7,13,1.04,, 11.25 ,,99,61
590,2012,7,1,,2,11,1.18,, 4.91 ,,122,61
591,2012,7,1,,15,12,1.38,, 2.97 ,,103,136
592,2012,7,6,,4,3,1.2,, 4.46 ,,62,85
593,2012,7,7,,12,17,2.67,, 1.46 ,,84,86
594,2012,7,7,,11,14,4.72,, 1.18 ,,78,101
595,2012,7,7,,16,2,1.17,, 5.05 ,,110,63
596,2012,7,7,,13,1,3.73,, 1.27 ,,58,116
597,2012,7,7,,15,5,2.93,, 1.40 ,,133,62
598,2012,7,8,,10,9,1,, 21.00 ,,193,31
599,2012,7,8,,6,18,1.19,, 4.73 ,,95,57
600,2012,7,8,,8,7,12.68,, 1.03 ,,96,110
601,2012,7,13,,12,3,2.12,, 1.70 ,,149,96
602,2012,7,14,,13,5,2.7,, 1.45 ,,77,127
603,2012,7,14,,11,6,3.16,, 1.35 ,,83,117
604,2012,7,14,,14,8,1.16,, 5.18 ,,88,90
605,2012,7,14,,2,15,2.53,, 1.51 ,,92,105
606,2012,7,14,,7,4,2.65,, 1.48 ,,79,110
607,2012,7,15,,9,1,16.46,, 1.01 ,,59,178
608,2012,7,15,,17,16,1.69,, 2.13 ,,69,121
609,2012,7,15,,18,10,10.07,, 1.04 ,,44,116
610,2012,7,20,,7,5,2.02,, 1.76 ,,134,67
611,2012,7,21,,1,17,1.43,, 2.78 ,,124,75
612,2012,7,21,,4,10,1.9,, 1.88 ,,91,138
613,2012,7,21,,8,2,3.95,, 1.25 ,,48,59
614,2012,7,21,,11,13,2.24,, 1.63 ,,56,84
615,2012,7,21,,18,3,2.35,, 1.58 ,,84,102
616,2012,7,22,,16,15,1.36,, 3.11 ,,105,76
617,2012,7,22,,6,9,1.01,, 21.83 ,,132,37
618,2012,7,22,,14,12,2.1,, 1.73 ,,99,103
619,2012,7,27,,5,10,5.2,, 1.16 ,,86,180
620,2012,7,28,,7,1,1.61,, 2.27 ,,102,75
621,2012,7,28,,12,11,1.09,, 7.67 ,,127,73
622,2012,7,28,,9,4,22.17,, 1.01 ,,54,174
623,2012,7,28,,3,14,2.34,, 1.58 ,,95,91
624,2012,7,28,,8,16,9.98,, 1.05 ,,54,126
625,2012,7,29,,13,6,2.45,, 1.54 ,,48,75
626,2012,7,29,,17,2,1.14,, 5.66 ,,175,77
627,2012,7,29,,15,18,1.14,, 5.54 ,,118,42
628,2012,8,3,,10,7,1.29,, 3.61 ,,116,118
629,2012,8,4,,18,12,7.84,, 1.08 ,,61,115
630,2012,8,4,,9,13,6.7,, 1.10 ,,107,73
631,2012,8,4,,6,17,2.59,, 1.49 ,,113,48
632,2012,8,4,,2,14,2.21,, 1.64 ,,84,132
633,2012,8,4,,4,15,1.4,, 2.94 ,,91,85
634,2012,8,5,,11,8,1.39,, 3.02 ,,108,66
635,2012,8,5,,1,5,1.15,, 5.45 ,,104,100
636,2012,8,5,,3,16,2.97,, 1.39 ,,71,93
637,2012,8,10,,17,7,1.68,, 2.15 ,,102,97
638,2012,8,11,,1,6,1.4,, 2.91 ,,119,91
639,2012,8,11,,15,11,1.05,, 9.67 ,,107,82
640,2012,8,11,,8,9,1.36,, 3.08 ,,109,79
641,2012,8,11,,3,2,1.19,, 4.68 ,,113,77
642,2012,8,11,,16,4,1.59,, 2.34 ,,70,78
643,2012,8,12,,10,13,1.01,, 19.50 ,,159,87
644,2012,8,12,,14,18,1.14,, 5.62 ,,150,80
645,2012,8,12,,5,12,2.19,, 1.65 ,,76,100
646,2012,8,17,,7,15,1.31,, 3.38 ,,123,81
647,2012,8,18,,5,3,2.05,, 1.74 ,,60,156
648,2012,8,18,,9,11,4.55,, 1.19 ,,59,84
649,2012,8,18,,6,14,1.39,, 2.95 ,,94,72
650,2012,8,18,,2,1,4.29,, 1.21 ,,95,85
651,2012,8,18,,4,12,1.31,, 3.42 ,,61,91
652,2012,8,19,,13,17,5.64,, 1.13 ,,50,98
653,2012,8,19,,18,16,8.66,, 1.06 ,,85,167
654,2012,8,19,,10,8,1.01,, 23.58 ,,129,65
655,2012,8,24,,14,5,1.59,, 2.30 ,,102,57
656,2012,8,25,,13,2,2.22,, 1.64 ,,93,104
657,2012,8,25,,15,9,1.01,, 20.40 ,,163,35
658,2012,8,25,,16,10,1.97,, 1.79 ,,95,102
659,2012,8,25,,17,4,1.68,, 2.16 ,,107,58
660,2012,8,25,,8,3,13.6,, 1.02 ,,98,86
661,2012,8,26,,7,18,1.02,, 15.55 ,,107,73
662,2012,8,26,,12,6,1.27,, 3.67 ,,79,132
663,2012,8,26,,11,1,6.16,, 1.12 ,,81,150
664,2012,8,31,,10,17,1.25,, 3.90 ,,95,70
665,2012,9,1,,1,8,1.01,, 16.82 ,,153,62
666,2012,9,1,,7,16,1.65,, 2.20 ,,112,78
667,2012,9,1,,9,12,16,, 1.01 ,,77,105
668,2012,9,1,,6,11,1.03,, 11.75 ,,101,40
669,2012,9,1,,5,4,5.25,, 1.15 ,,72,104
670,2012,9,2,,3,15,1.97,, 1.80 ,,91,106
671,2012,9,2,,14,13,1.1,, 6.84 ,,106,106
672,2012,9,2,,2,18,1.2,, 4.56 ,,128,61
673,2012,9,7,,10,4,1.32,, 3.35 ,,135,97
674,2012,9,8,,1,16,1.63,, 2.24 ,,42,71
675,2012,9,8,,7,6,1.28,, 3.64 ,,80,96
676,2012,9,9,,17,12,1.2,, 4.53 ,,162,66
677,2012,9,14,,1,6,1.6,, 2.31 ,,81,71
678,2012,9,15,,4,17,1.86,, 1.91 ,,73,60
679,2012,9,21,,16,4,1.55,, 2.43 ,,96,70
680,2012,9,22,,10,1,1.13,, 5.85 ,,97,92
681,2012,9,29,,10,16,1.52,,2.53,,81,91
