gameindex,year,month,day,round,hometeamindex,awayteamindex,homewinodds, drawodds , awaywinodds ,overtime,homescore,awayscore
1096,2015,4,2,,3,14,2.53,, 1.53 ,,78,105
1097,2015,4,4,,11,8,2.97,, 1.41 ,,115,89
1098,2015,4,4,,16,5,1.31,, 3.49 ,,72,60
1099,2015,4,4,,2,4,1.48,, 2.67 ,,74,86
1100,2015,4,4,,18,17,2.52,, 1.53 ,,97,87
1101,2015,4,5,,15,9,3.43,, 1.32 ,,78,87
1102,2015,4,5,,1,12,1.7,, 2.14 ,,140,63
1103,2015,4,5,,6,13,1.67,, 2.22 ,,75,68
1104,2015,4,6,,10,7,1.36,, 3.16 ,,123,61
1105,2015,4,10,,17,3,1.53,, 2.54 ,,131,62
1106,2015,4,11,,14,18,1.35,, 3.26 ,,66,85
1107,2015,4,11,,9,11,1.45,, 2.77 ,,101,56
1108,2015,4,11,,4,1,2.95,, 1.41 ,,63,90
1109,2015,4,11,,13,16,1.61,, 2.34 ,,44,92
1110,2015,4,11,,8,15,1.19,, 4.85 ,,76,104
1111,2015,4,12,,7,6,2.26,, 1.65 ,,60,104
1112,2015,4,12,,5,10,4.65,, 1.20 ,,78,76
1113,2015,4,12,,12,2,1.14,, 5.78 ,,133,51
1114,2015,4,17,,4,15,1.4,, 2.98 ,,140,66
1115,2015,4,18,,1,11,1.08,, 8.24 ,,80,55
1116,2015,4,18,,3,5,3.83,, 1.27 ,,84,105
1117,2015,4,18,,16,9,1.16,, 5.40 ,,111,90
1118,2015,4,18,,2,14,2.72,, 1.46 ,,58,137
1119,2015,4,18,,12,13,1.9,, 1.90 ,,105,113
1120,2015,4,19,,10,18,1.06,, 9.69 ,,127,57
1121,2015,4,19,,17,6,3.88,, 1.27 ,,81,111
1122,2015,4,19,,7,8,1.17,, 5.20 ,,105,96
1123,2015,4,24,,14,11,1.31,, 3.46 ,,51,83
1124,2015,4,25,,15,3,3.14,, 1.36 ,,81,121
1125,2015,4,25,,5,4,1.41,, 2.91 ,,49,69
1126,2015,4,25,,9,8,1.39,, 2.97 ,,119,53
1127,2015,4,25,,6,16,1.6,, 2.36 ,,74,60
1128,2015,4,25,,13,10,2.43,, 1.56 ,,99,91
1129,2015,4,26,,2,17,2.7,, 1.46 ,,65,118
1130,2015,4,26,,7,12,2.26,, 1.63 ,,67,83
1131,2015,4,26,,18,1,3.59,, 1.29 ,,125,68
1132,2015,5,1,,3,4,2.41,, 1.58 ,,45,120
1133,2015,5,2,,14,7,1.63,, 2.28 ,,76,85
1134,2015,5,2,,16,18,1.15,, 5.36 ,,73,77
1135,2015,5,2,,8,2,2.08,, 1.76 ,,118,54
1136,2015,5,2,,17,9,1.67,, 2.22 ,,120,33
1137,2015,5,2,,12,10,3.32,, 1.33 ,,70,130
1138,2015,5,3,,11,6,5.2,, 1.17 ,,50,118
1139,2015,5,3,,15,5,5.64,, 1.14 ,,80,82
1140,2015,5,3,,1,13,2.28,, 1.63 ,,91,115
1141,2015,5,8,,4,7,1.58,, 2.38 ,,59,100
1142,2015,5,9,,12,14,1.59,, 2.35 ,,109,74
1143,2015,5,9,,18,15,1.45,, 2.73 ,,87,94
1144,2015,5,9,,9,10,3.71,, 1.28 ,,108,98
1145,2015,5,9,,8,1,5.24,, 1.17 ,,78,119
1146,2015,5,9,,6,5,1.2,, 4.68 ,,80,52
1147,2015,5,9,,11,16,5.22,, 1.17 ,,50,88
1148,2015,5,10,,3,2,1.31,, 3.53 ,,75,84
1149,2015,5,10,,13,17,1.24,, 4.21 ,,68,78
1150,2015,5,15,,5,12,2.88,, 1.42 ,,82,93
1151,2015,5,16,,1,15,1.22,, 4.36 ,,119,73
1152,2015,5,16,,10,11,1.08,, 7.90 ,,155,50
1153,2015,5,16,,3,9,2.55,, 1.51 ,,57,135
1154,2015,5,16,,17,8,1.1,, 7.05 ,,135,43
1155,2015,5,16,,16,7,1.21,, 4.42 ,,120,77
1156,2015,5,17,,18,6,3.81,, 1.27 ,,88,101
1157,2015,5,17,,14,4,1.97,, 1.83 ,,105,100
1158,2015,5,17,,2,13,4.61,, 1.20 ,,102,65
1159,2015,5,22,,7,3,1.23,, 4.21 ,,140,63
1160,2015,5,23,,15,17,5.03,, 1.18 ,,78,131
1161,2015,5,23,,9,1,1.49,, 2.62 ,,108,84
1162,2015,5,23,,8,4,3.7,, 1.29 ,,63,132
1163,2015,5,23,,6,12,1.2,, 4.61 ,,115,42
1164,2015,5,23,,10,16,1.49,, 2.65 ,,69,73
1165,2015,5,24,,5,2,1.22,, 4.39 ,,136,78
1166,2015,5,24,,11,18,3.06,, 1.38 ,,103,64
1167,2015,5,24,,13,14,1.34,, 3.30 ,,43,76
1168,2015,5,29,,16,3,1.02,, 15.07 ,,122,62
1169,2015,5,30,,11,13,2.74,, 1.46 ,,54,115
1170,2015,5,30,,10,8,1.01,, 16.13 ,,93,40
1171,2015,5,30,,18,9,2.64,, 1.49 ,,113,68
1172,2015,5,30,,1,6,3.58,, 1.30 ,,57,68
1173,2015,5,30,,14,5,1.78,, 2.04 ,,72,59
1174,2015,5,31,,2,15,1.63,, 2.28 ,,86,108
1175,2015,5,31,,17,7,1.45,, 2.75 ,,120,64
1176,2015,5,31,,4,12,1.89,, 1.92 ,,112,95
1177,2015,6,5,,6,14,1.22,, 4.27 ,,70,97
1178,2015,6,6,,3,1,3.43,, 1.31 ,,90,99
1179,2015,6,6,,8,16,14.72,, 1.02 ,,41,93
1180,2015,6,6,,13,18,1.23,, 4.13 ,,100,62
1181,2015,6,6,,5,7,2,, 1.81 ,,53,122
1182,2015,6,7,,9,2,1.08,, 7.65 ,,97,67
1183,2015,6,7,,12,17,2.1,, 1.73 ,,85,75
1184,2015,6,7,,15,10,12.71,, 1.02 ,,69,132
1185,2015,6,8,,11,4,3.92,, 1.25 ,,85,110
1186,2015,6,12,,13,7,1.44,, 2.79 ,,69,92
1187,2015,6,13,,8,6,9.37,, 1.06 ,,46,53
1188,2015,6,13,,17,5,1.14,, 5.65 ,,96,46
1189,2015,6,13,,12,16,2.56,, 1.51 ,,75,91
1190,2015,6,14,,4,9,1.65,, 2.25 ,,119,77
1191,2015,6,14,,15,11,1.65,, 2.24 ,,85,83
1192,2015,6,18,,1,10,2.99,, 1.40 ,,85,114
1193,2015,6,19,,14,17,1.88,, 1.93 ,,70,90
1194,2015,6,20,,3,13,3.21,, 1.35 ,,110,106
1195,2015,6,20,,18,2,1.29,, 3.68 ,,146,74
1196,2015,6,20,,9,12,2.96,, 1.40 ,,61,117
1197,2015,6,21,,7,11,1.11,, 6.49 ,,89,113
1198,2015,6,25,,6,4,1.33,, 3.34 ,,80,73
1199,2015,6,26,,16,14,1.34,, 3.31 ,,77,95
1200,2015,6,27,,10,5,1.06,, 9.26 ,,114,76
1201,2015,6,27,,2,1,3.55,, 1.30 ,,69,82
1202,2015,6,27,,15,18,2.55,, 1.51 ,,56,62
1203,2015,6,28,,3,8,1.42,, 2.88 ,,103,69
1204,2015,7,2,,16,13,1.44,, 2.76 ,,94,84
1205,2015,7,3,,4,10,3.47,, 1.30 ,,91,101
1206,2015,7,4,,14,9,1.18,, 4.87 ,,78,69
1207,2015,7,4,,8,12,3.8,, 1.27 ,,125,70
1208,2015,7,4,,11,17,4.53,, 1.20 ,,60,114
1209,2015,7,4,,18,3,1.39,, 3.03 ,,64,53
1210,2015,7,5,,5,15,1.7,, 2.14 ,,52,162
1211,2015,7,5,,6,2,1.03,, 11.65 ,,84,48
1212,2015,7,9,,13,4,1.81,, 2.00 ,,66,63
1213,2015,7,10,,14,3,1.31,, 3.48 ,,71,41
1214,2015,7,11,,5,11,2.64,, 1.48 ,,69,60
1215,2015,7,11,,18,8,1.65,, 2.25 ,,95,73
1216,2015,7,11,,17,1,1.18,, 4.87 ,,147,91
1217,2015,7,11,,12,7,2.03,, 1.79 ,,120,79
1218,2015,7,12,,9,15,1.69,, 2.17 ,,84,49
1219,2015,7,12,,10,6,1.4,, 2.95 ,,115,43
1220,2015,7,12,,2,16,5.69,, 1.14 ,,49,70
1221,2015,7,17,,12,5,1.2,, 4.52 ,,93,68
1222,2015,7,18,,7,18,1.57,, 2.40 ,,72,64
1223,2015,7,18,,8,9,2.23,, 1.66 ,,79,94
1224,2015,7,18,,4,17,2.45,, 1.55 ,,56,87
1225,2015,7,18,,6,3,1.12,, 6.36 ,,95,53
1226,2015,7,18,,16,10,2.43,, 1.56 ,,57,146
1227,2015,7,19,,11,2,1.61,, 2.32 ,,60,36
1228,2015,7,19,,13,1,1.57,, 2.41 ,,113,116
1229,2015,7,19,,15,14,2.85,, 1.42 ,,73,89
1230,2015,7,24,,3,10,14.09,, 1.02 ,,35,173
1231,2015,7,25,,1,8,1.21,, 4.39 ,,125,80
1232,2015,7,25,,9,7,1.78,, 2.03 ,,42,69
1233,2015,7,25,,14,6,1.77,, 2.04 ,,78,82
1234,2015,7,25,,2,12,4.42,, 1.21 ,,38,110
1235,2015,7,25,,5,13,3.37,, 1.32 ,,116,129
1236,2015,7,26,,18,4,2.21,, 1.67 ,,104,86
1237,2015,7,26,,17,16,1.29,, 3.61 ,,103,51
1238,2015,7,26,,11,15,2.04,, 1.79 ,,46,83
1239,2015,7,31,,10,14,1.17,, 5.03 ,,53,71
1240,2015,8,1,,7,2,1.11,, 6.73 ,,113,57
1241,2015,8,1,,4,11,1.32,, 3.36 ,,54,91
1242,2015,8,1,,16,1,1.4,, 2.96 ,,117,65
1243,2015,8,1,,3,12,5.55,, 1.14 ,,54,118
1244,2015,8,1,,8,17,8.22,, 1.08 ,,83,83
1245,2015,8,2,,13,15,1.19,, 4.63 ,,112,49
1246,2015,8,2,,6,9,1.2,, 4.41 ,,84,63
1247,2015,8,2,,5,18,2.84,, 1.42 ,,40,127
1248,2015,8,7,,1,14,2.13,, 1.71 ,,88,52
1249,2015,8,8,,4,3,1.22,, 4.21 ,,105,87
1250,2015,8,8,,18,13,1.7,, 2.15 ,,128,64
1251,2015,8,8,,17,10,2.4,, 1.56 ,,74,88
1252,2015,8,8,,2,8,2.57,, 1.51 ,,100,114
1253,2015,8,8,,7,16,1.86,, 1.95 ,,95,63
1254,2015,8,9,,11,12,3.39,, 1.32 ,,92,127
1255,2015,8,9,,9,5,1.26,, 3.88 ,,93,61
1256,2015,8,9,,15,6,2.72,, 1.46 ,,59,96
1257,2015,8,14,,16,4,1.35,, 3.24 ,,87,76
1258,2015,8,15,,5,1,3.54,, 1.30 ,,59,171
1259,2015,8,15,,12,15,1.16,, 5.23 ,,120,83
1260,2015,8,15,,13,9,1.26,, 3.91 ,,111,90
1261,2015,8,15,,2,3,1.64,, 2.27 ,,131,67
1262,2015,8,15,,7,10,4.17,, 1.23 ,,85,121
1263,2015,8,16,,14,8,1.12,, 6.34 ,,138,55
1264,2015,8,16,,6,17,1.64,, 2.26 ,,80,104
1265,2015,8,16,,18,11,1.22,, 4.28 ,,153,55
1266,2015,8,21,,10,13,1.07,, 8.64 ,,86,108
1267,2015,8,22,,4,14,2.92,, 1.41 ,,56,147
1268,2015,8,22,,9,16,2.53,, 1.52 ,,44,133
1269,2015,8,22,,8,5,1.52,, 2.52 ,,97,95
1270,2015,8,22,,1,2,1.07,, 8.81 ,,131,44
1271,2015,8,22,,15,7,4.4,, 1.21 ,,97,97
1272,2015,8,23,,12,6,1.66,, 2.23 ,,94,83
1273,2015,8,23,,17,18,1.3,, 3.56 ,,162,85
1274,2015,8,23,,3,11,3.08,, 1.38 ,,78,55
1275,2015,8,28,,7,4,1.41,, 2.93 ,,62,110
1276,2015,8,29,,9,3,1.2,, 4.59 ,,132,51
1277,2015,8,29,,10,2,1.02,, 12.60 ,,134,62
1278,2015,8,29,,12,18,1.63,, 2.27 ,,73,96
1279,2015,8,29,,5,14,6.35,, 1.12 ,,47,74
1280,2015,8,29,,8,13,3.22,, 1.35 ,,51,88
1281,2015,8,30,,1,17,2.01,, 1.78 ,,126,69
1282,2015,8,30,,6,11,1.07,, 8.37 ,,108,54
1283,2015,8,30,,15,16,4.16,, 1.23 ,,38,135
1284,2015,9,4,,14,12,1.08,, 8.03 ,,108,67
1285,2015,9,5,,7,1,2.16,, 1.69 ,,119,80
1286,2015,9,5,,2,18,4.24,, 1.22 ,,130,122
1287,2015,9,5,,13,6,1.06,, 8.64 ,,122,53
1288,2015,9,5,,10,3,1.01,, 14.36 ,,113,56
1289,2015,9,5,,17,15,1.04,, 10.33 ,,125,30
1290,2015,9,5,,16,8,1.04,, 10.57 ,,127,64
1291,2015,9,6,,11,9,2.35,, 1.59 ,,103,77
1292,2015,9,6,,4,5,1.28,, 3.65 ,,92,95
1293,2015,9,11,,17,10,2.39,, 1.57 ,,96,64
1294,2015,9,12,,6,16,1.33,, 3.35 ,,69,60
1295,2015,9,12,,18,1,1.9,, 1.90 ,,102,109
1296,2015,9,13,,14,12,1.58,, 2.38 ,,88,105
1297,2015,9,18,,10,1,1.3,, 3.56 ,,135,61
1298,2015,9,19,,16,12,1.62,, 2.30 ,,51,77
1299,2015,9,25,,6,10,2.25,, 1.65 ,,67,94
1300,2015,9,26,,17,12,1.19,, 4.74 ,,80,55
1301,2015,10,3,,17,10,2.39,,1.58,,61,107
