year,month,day,round,hometeamindex,awayteamindex,homewinodds, drawodds , awaywinodds ,overtime,homescore,awayscore
2016,3,24,,14,3,1.23,, 4.11 ,,92,83
2016,3,26,,11,9,2.45,, 1.55 ,,80,78
2016,3,26,,8,5,1.14,, 5.93 ,,121,60
2016,3,26,,12,1,1.43,, 2.81 ,,107,97
2016,3,26,,16,4,1.58,, 2.37 ,,133,53
2016,3,27,,18,6,1.62,, 2.28 ,,103,38
2016,3,27,,13,15,1.14,, 5.65 ,,133,100
2016,3,27,,17,2,1.03,, 11.96 ,,166,102
2016,3,28,,7,10,2.12,, 1.71 ,,116,86
2016,4,1,,4,14,2.04,, 1.78 ,,87,86
2016,4,2,,1,13,1.94,, 1.86 ,,144,86
2016,4,2,,5,11,5.76,, 1.14 ,,80,67
2016,4,2,,2,12,3.82,, 1.27 ,,83,117
2016,4,2,,6,8,1.23,, 4.14 ,,100,126
2016,4,2,,15,18,3.88,, 1.25 ,,36,93
2016,4,3,,9,7,2.66,, 1.46 ,,89,76
2016,4,3,,10,17,2.22,, 1.66 ,,99,53
2016,4,3,,3,16,4.38,, 1.21 ,,71,131
2016,4,8,,13,5,1.11,, 6.78 ,,112,51
2016,4,9,,15,4,2.33,, 1.61 ,,119,90
2016,4,9,,14,1,1.89,, 1.93 ,,92,128
2016,4,9,,16,9,1.39,, 3.01 ,,93,68
2016,4,9,,17,6,1.32,, 3.36 ,,92,59
2016,4,9,,8,3,1.15,, 5.50 ,,95,41
2016,4,10,,12,11,1.13,, 6.03 ,,136,131
2016,4,10,,18,10,2.05,, 1.77 ,,90,93
2016,4,10,,7,2,1.04,, 11.70 ,,125,56
2016,4,15,,17,14,1.22,, 4.28 ,,125,57
2016,4,16,,5,7,10.34,, 1.04 ,,42,72
2016,4,16,,10,15,1.1,, 7.08 ,,87,84
2016,4,16,,2,8,3.04,, 1.38 ,,107,94
2016,4,16,,1,16,1.94,, 1.86 ,,113,103
2016,4,16,,3,18,7.53,, 1.09 ,,49,85
2016,4,17,,9,13,1.87,, 1.92 ,,151,65
2016,4,17,,4,11,1.39,, 3.00 ,,67,102
2016,4,17,,12,6,1.23,, 4.15 ,,132,101
2016,4,22,,10,1,1.41,, 2.91 ,,112,109
2016,4,23,,16,17,1.61,, 2.30 ,,88,49
2016,4,23,,8,12,3.05,, 1.38 ,,81,119
2016,4,23,,13,7,2.16,, 1.70 ,,59,107
2016,4,23,,18,2,1.12,, 6.37 ,,120,67
2016,4,24,,15,9,2.38,, 1.57 ,,79,126
2016,4,24,,6,3,1.14,, 5.61 ,,68,72
2016,4,24,,11,14,2.19,, 1.68 ,,129,96
2016,4,25,,4,5,1.33,, 3.33 ,,142,73
2016,4,29,,12,18,1.8,, 2.01 ,,61,45
2016,4,30,,1,6,1.08,, 7.94 ,,97,64
2016,4,30,,11,15,1.72,, 2.14 ,,96,135
2016,4,30,,9,10,2.05,, 1.77 ,,158,83
2016,4,30,,7,8,1.08,, 7.62 ,,168,48
2016,4,30,,14,13,1.38,, 3.02 ,,59,94
2016,5,1,,2,16,5.11,, 1.17 ,,94,97
2016,5,1,,17,4,1.12,, 6.22 ,,124,62
2016,5,1,,3,5,1.56,, 2.41 ,,72,57
2016,5,6,,14,10,4.12,, 1.24 ,,90,136
2016,5,7,,4,3,1.54,, 2.47 ,,84,99
2016,5,7,,7,17,1.5,, 2.58 ,,123,79
2016,5,7,,16,5,1.02,, 14.38 ,,135,54
2016,5,7,,8,11,1.86,, 1.94 ,,87,160
2016,5,7,,6,9,3.35,, 1.33 ,,77,95
2016,5,7,,18,1,1.73,, 2.12 ,,123,108
2016,5,8,,15,12,3.53,, 1.30 ,,75,82
2016,5,8,,13,2,1.37,, 3.10 ,,136,59
2016,5,13,,1,7,1.89,, 1.91 ,,72,98
2016,5,14,,5,12,10.13,, 1.05 ,,60,74
2016,5,14,,10,6,1.09,, 7.31 ,,116,75
2016,5,14,,9,8,1.05,, 10.34 ,,149,58
