gameindex,year,month,day,round,hometeamindex,awayteamindex,homewinodds, drawodds , awaywinodds ,overtime,homescore,awayscore
1924,2019,3,21,1,3,14,,,,,,
1925,2019,3,22,1,4,7,,,,,,
1926,2019,3,23,1,11,13,,,,,,
1927,2019,3,23,1,1,10,,,,,,
1928,2019,3,23,1,18,16,,,,,,
1929,2019,3,23,1,2,17,,,,,,
1930,2019,3,24,1,15,8,,,,,,
1931,2019,3,24,1,9,5,,,,,,
1932,2019,3,24,1,6,12,,,,,,
1933,2019,3,28,2,14,4,,,,,,
1934,2019,3,29,2,16,1,,,,,,
1935,2019,3,30,2,5,15,,,,,,
1936,2019,3,30,2,13,3,,,,,,
1937,2019,3,30,2,7,11,,,,,,
1938,2019,3,30,2,17,9,,,,,,
1939,2019,3,31,2,12,2,,,,,,
1940,2019,3,31,2,10,18,,,,,,
1941,2019,3,31,2,8,6,,,,,,
1942,2019,4,4,3,1,7,,,,,,
1943,2019,4,5,3,11,5,,,,,,
1944,2019,4,6,3,3,16,,,,,,
1945,2019,4,6,3,9,14,,,,,,
1946,2019,4,6,3,2,13,,,,,,
1947,2019,4,6,3,4,17,,,,,,
1948,2019,4,7,3,18,8,,,,,,
1949,2019,4,7,3,10,12,,,,,,
1950,2019,4,7,3,6,15,,,,,,
1951,2019,4,11,4,16,11,,,,,,
1952,2019,4,12,4,4,18,,,,,,
1953,2019,4,13,4,7,9,,,,,,
1954,2019,4,13,4,5,2,,,,,,
1955,2019,4,13,4,13,14,,,,,,
1956,2019,4,13,4,12,1,,,,,,
1957,2019,4,13,4,17,6,,,,,,
1958,2019,4,14,4,8,3,,,,,,
1959,2019,4,14,4,15,10,,,,,,
1960,2019,4,18,5,2,4,,,,,,
1961,2019,4,19,5,12,5,,,,,,
1962,2019,4,19,5,17,13,,,,,,
1963,2019,4,20,5,9,6,,,,,,
1964,2019,4,20,5,11,15,,,,,,
1965,2019,4,20,5,14,16,,,,,,
1966,2019,4,21,5,18,3,,,,,,
1967,2019,4,21,5,1,8,,,,,,
1968,2019,4,22,5,10,7,,,,,,
1969,2019,4,24,6,14,11,,,,,,
1970,2019,4,25,6,5,4,,,,,,
1971,2019,4,26,6,13,12,,,,,,
1972,2019,4,27,6,8,2,,,,,,
1973,2019,4,27,6,15,1,,,,,,
1974,2019,4,27,6,16,9,,,,,,
1975,2019,4,27,6,6,18,,,,,,
1976,2019,4,28,6,10,3,,,,,,
1977,2019,4,28,6,7,17,,,,,,
1978,2019,5,3,7,4,13,,,,,,
1979,2019,5,4,7,11,10,,,,,,
1980,2019,5,4,7,9,15,,,,,,
1981,2019,5,4,7,2,16,,,,,,
1982,2019,5,4,7,18,14,,,,,,
1983,2019,5,4,7,17,8,,,,,,
1984,2019,5,5,7,3,12,,,,,,
1985,2019,5,5,7,7,5,,,,,,
1986,2019,5,5,7,1,6,,,,,,
1987,2019,5,10,8,16,5,,,,,,
1988,2019,5,11,8,18,2,,,,,,
1989,2019,5,11,8,3,4,,,,,,
1990,2019,5,11,8,8,11,,,,,,
1991,2019,5,11,8,15,17,,,,,,
1992,2019,5,11,8,13,1,,,,,,
1993,2019,5,12,8,12,7,,,,,,
1994,2019,5,12,8,10,9,,,,,,
1995,2019,5,12,8,6,14,,,,,,
1996,2019,5,17,9,17,11,,,,,,
1997,2019,5,18,9,4,15,,,,,,
1998,2019,5,18,9,2,1,,,,,,
1999,2019,5,18,9,7,18,,,,,,
2000,2019,5,18,9,5,6,,,,,,
2001,2019,5,18,9,12,16,,,,,,
2002,2019,5,19,9,13,8,,,,,,
2003,2019,5,19,9,14,10,,,,,,
2004,2019,5,19,9,9,3,,,,,,
2005,2019,5,24,10,16,4,,,,,,
2006,2019,5,25,10,10,13,,,,,,
