gameindex,year,month,day,round,hometeamindex,awayteamindex,homewinodds,drawodds,awayteamodds,overtime,homescore,awayscore,homepenaltyscore,awaypenaltyscore
1,2008,8,29,,6,7,1.78,3.35,4.03,0,5,0,0,0
2,2008,8,30,,1,11,1.75,3.34,4.22,0,3,0,0,0
3,2008,8,31,,2,3,2.22,3.14,2.94,0,2,4,0,0
4,2008,8,31,,10,9,1.66,3.40,4.66,0,5,2,0,0
5,2008,9,12,,6,1,1.92,3.20,3.61,0,1,0,0,0
6,2008,9,13,,7,10,2.84,3.20,2.26,0,0,0,0,0
7,2008,9,14,,9,2,2.59,3.19,2.45,0,0,3,0,0
8,2008,9,14,,11,3,2.57,3.19,2.47,0,0,0,0,0
9,2008,9,19,,2,7,2.13,3.16,3.10,0,0,1,0,0
10,2008,9,20,,10,1,1.76,3.32,4.15,0,3,0,0,0
11,2008,9,21,,9,11,2.16,3.11,3.07,0,1,0,0,0
12,2008,9,26,,3,9,1.61,3.42,5.06,0,4,1,0,0
13,2008,9,27,,1,7,2.11,3.15,3.15,0,2,0,0,0
14,2008,9,28,,6,2,1.78,3.26,4.17,0,0,2,0,0
15,2008,9,28,,11,10,4.05,3.24,1.81,0,2,1,0,0
16,2008,10,3,,1,3,2.07,3.20,3.20,0,3,3,0,0
17,2008,10,4,,10,2,1.89,3.22,3.72,0,1,1,0,0
18,2008,10,4,,6,9,1.48,3.68,6.48,0,4,0,0,0
19,2008,10,6,,7,11,1.94,3.24,3.55,0,2,2,0,0
20,2008,10,17,,2,1,2.22,3.13,2.97,0,0,1,0,0
21,2008,10,18,,7,6,3.10,3.20,2.10,0,1,0,0,0
22,2008,10,19,,9,10,3.59,3.27,1.92,0,2,1,0,0
23,2008,10,19,,3,11,1.68,3.38,4.53,0,0,1,0,0
24,2008,10,24,,3,7,2.18,3.19,2.99,0,1,0,0,0
25,2008,10,25,,6,10,1.98,3.22,3.40,0,0,2,0,0
26,2008,10,26,,1,9,1.77,3.29,4.12,0,2,1,0,0
27,2008,10,26,,11,2,2.47,3.13,2.60,0,0,1,0,0
28,2008,10,31,,1,6,2.05,3.18,3.28,0,2,3,0,0
29,2008,11,1,,10,3,1.98,3.27,3.34,0,3,3,0,0
30,2008,11,2,,9,11,2.14,3.18,3.06,0,2,0,0,0
31,2008,11,2,,7,2,2.29,3.18,2.80,0,1,2,0,0
32,2008,11,7,,10,11,1.45,3.75,6.40,0,1,2,0,0
33,2008,11,8,,2,6,2.74,3.16,2.34,0,0,1,0,0
34,2008,11,9,,9,7,2.25,3.18,2.83,0,2,2,0,0
35,2008,11,15,,3,1,2.17,3.22,3.04,0,3,0,0,0
36,2008,11,21,,6,3,1.98,3.26,3.43,0,2,1,0,0
37,2008,11,22,,1,10,2.27,3.23,2.88,0,2,0,0,0
38,2008,11,23,,2,9,1.69,3.41,4.73,0,4,1,0,0
39,2008,11,23,,11,7,2.18,3.25,3.05,0,2,0,0,0
40,2008,11,28,,10,2,2.38,3.18,2.75,0,1,1,0,0
41,2008,11,28,,11,6,3.45,3.25,1.99,0,2,1,0,0
42,2008,11,29,,9,3,3.30,3.23,2.06,0,2,2,0,0
43,2008,11,30,,7,1,3.41,3.25,2.01,0,1,1,0,0
44,2008,12,5,,1,11,1.70,3.38,4.68,0,6,1,0,0
45,2008,12,6,,9,6,3.29,3.23,2.04,0,3,1,0,0
46,2008,12,6,,3,2,2.39,3.21,2.66,0,1,1,0,0
47,2008,12,7,,7,10,2.46,3.14,2.61,0,1,2,0,0
48,2008,12,13,,3,10,2.28,3.21,2.83,0,2,1,0,0
49,2008,12,13,,11,9,2.02,3.32,3.29,0,1,1,0,0
50,2008,12,14,,2,7,1.93,3.24,3.70,0,2,1,0,0
51,2008,12,19,,7,6,3.94,3.26,1.84,0,4,2,0,0
52,2008,12,19,,11,3,2.51,3.17,2.57,0,1,0,0,0
53,2008,12,21,,10,9,1.70,3.39,4.53,0,1,4,0,0
54,2008,12,26,,9,1,2.76,3.22,2.33,0,0,1,0,0
55,2008,12,26,,7,3,2.41,3.19,2.66,0,1,2,0,0
56,2008,12,27,,6,10,1.86,3.26,3.85,0,3,2,0,0
57,2008,12,28,,2,11,1.79,3.27,4.15,0,3,2,0,0
58,2008,12,31,,3,9,1.69,3.39,4.64,0,1,0,0,0
59,2009,1,2,,6,2,2.10,3.26,3.12,0,2,1,0,0
60,2009,1,3,,1,10,1.79,3.29,4.13,0,2,0,0,0
61,2009,1,4,,11,7,1.87,3.31,3.89,0,3,0,0,0
62,2009,1,6,,6,1,2.16,3.17,3.15,0,1,0,0,0
63,2009,1,9,,1,7,1.50,3.72,6.16,0,2,0,0,0
64,2009,1,10,,3,2,2.29,3.19,2.85,0,3,4,0,0
65,2009,1,11,,9,6,3.14,3.24,2.10,0,3,2,0,0
66,2009,1,11,,10,11,2.05,3.24,3.30,0,1,0,0,0
67,2009,1,14,,1,2,2.05,3.27,3.40,0,0,0,0,0
