gameindex,year,month,day,round,hometeamindex,awayteamindex,homewinodds,drawodds,awayteamodds,overtime,homescore,awayscore,homepenaltyscore,awaypenaltyscore
82,2009,8,6,,6,3,1.58,3.66,5.45,0,0,2,0,0
83,2009,8,7,,1,9,1.89,3.35,3.79,0,1,0,0,0
84,2009,8,8,,8,10,3.52,3.23,2.02,0,2,3,0,0
85,2009,8,8,,2,4,2.27,3.28,2.87,0,1,3,0,0
86,2009,8,9,,7,11,2.00,3.30,3.54,0,3,2,0,0
87,2009,8,14,,3,7,1.96,3.30,3.58,0,1,1,0,0
88,2009,8,15,,4,8,1.51,3.63,6.07,0,5,0,0,0
89,2009,8,15,,6,2,2.01,3.31,3.36,0,3,3,0,0
90,2009,8,16,,11,9,2.40,3.20,2.77,0,2,1,0,0
91,2009,8,16,,10,1,1.99,3.28,3.50,0,1,0,0,0
92,2009,8,21,,1,4,2.61,3.20,2.53,0,0,2,0,0
93,2009,8,22,,3,10,2.67,3.17,2.49,0,0,0,0,0
94,2009,8,22,,8,6,4.35,3.37,1.78,0,0,1,0,0
95,2009,8,23,,2,11,1.70,3.50,4.62,0,1,1,0,0
96,2009,8,23,,9,7,2.15,3.22,3.17,0,2,0,0,0
97,2009,8,28,,1,8,1.49,3.83,6.20,0,3,3,0,0
98,2009,8,28,,9,6,2.66,3.21,2.47,0,2,1,0,0
99,2009,8,29,,2,3,2.20,3.26,3.05,0,1,0,0,0
100,2009,8,30,,7,4,4.02,3.47,1.80,0,1,0,0,0
101,2009,8,30,,10,11,1.65,3.52,4.93,0,2,0,0,0
102,2009,9,3,,6,7,1.79,3.46,4.16,0,1,1,0,0
103,2009,9,4,,11,1,2.36,3.20,2.80,0,1,1,0,0
104,2009,9,4,,3,9,2.31,3.27,2.83,0,2,1,0,0
105,2009,9,5,,4,10,2.19,3.26,3.03,0,2,1,0,0
106,2009,9,5,,8,2,3.42,3.29,2.02,0,1,1,0,0
107,2009,9,11,,1,3,2.23,3.23,3.01,0,1,0,0,0
108,2009,9,12,,7,2,2.22,3.19,3.06,0,0,3,0,0
109,2009,9,12,,10,8,1.43,4.03,6.98,0,0,1,0,0
110,2009,9,13,,6,11,1.62,3.55,5.18,0,1,1,0,0
111,2009,9,13,,9,4,3.02,3.20,2.22,0,2,2,0,0
112,2009,9,18,,1,6,2.38,3.18,2.83,0,0,2,0,0
113,2009,9,19,,3,4,2.96,3.20,2.24,0,3,0,0,0
114,2009,9,20,,11,8,2.02,3.25,3.39,0,1,1,0,0
115,2009,9,20,,10,7,1.79,3.34,4.15,0,2,1,0,0
116,2009,9,20,,2,9,1.93,3.25,3.62,0,2,4,0,0
117,2009,9,25,,7,9,2.48,3.22,2.66,0,0,1,0,0
118,2009,9,26,,4,6,2.21,3.24,3.04,0,2,3,0,0
119,2009,9,27,,11,3,2.30,3.23,2.90,0,0,0,0,0
120,2009,9,27,,2,10,2.34,3.23,2.82,0,1,0,0,0
121,2009,9,27,,8,1,2.52,3.18,2.63,0,0,2,0,0
122,2009,10,2,,4,11,1.46,3.92,6.67,0,0,0,0,0
123,2009,10,3,,9,8,1.67,3.45,4.73,0,1,1,0,0
124,2009,10,3,,6,2,2.06,3.25,3.29,0,2,1,0,0
