gameindex,year,month,day,round,hometeamindex,awayteamindex,homewinodds,drawodds,awayteamodds,overtime,homescore,awayscore,homepenaltyscore,awaypenaltyscore
1338,2019,3,15,22,1,9,,,,,,,,
1339,2019,3,16,22,7,3,,,,,,,,
1340,2019,3,16,22,6,2,,,,,,,,
1341,2019,3,17,22,11,12,,,,,,,,
1342,2019,3,17,22,10,5,,,,,,,,
1343,2019,3,29,23,2,10,,,,,,,,
1344,2019,3,30,23,11,7,,,,,,,,
1345,2019,3,30,23,12,5,,,,,,,,
1346,2019,3,30,23,9,6,,,,,,,,
1347,2019,3,31,23,3,1,,,,,,,,
1348,2019,4,5,24,5,2,,,,,,,,
1349,2019,4,6,24,7,12,,,,,,,,
1350,2019,4,6,24,10,6,,,,,,,,
1351,2019,4,7,24,1,11,,,,,,,,
1352,2019,4,7,24,3,9,,,,,,,,
1353,2019,4,12,25,2,11,,,,,,,,
1354,2019,4,13,25,5,1,,,,,,,,
1355,2019,4,13,25,12,10,,,,,,,,
1356,2019,4,14,25,6,3,,,,,,,,
1357,2019,4,14,25,9,7,,,,,,,,
1358,2019,4,18,26,10,9,,,,,,,,
1359,2019,4,19,26,1,6,,,,,,,,
1360,2019,4,20,26,2,7,,,,,,,,
1361,2019,4,20,26,3,12,,,,,,,,
1362,2019,4,21,26,11,5,,,,,,,,
1363,2019,4,25,27,2,1,,,,,,,,
1364,2019,4,26,27,5,3,,,,,,,,
1365,2019,4,27,27,7,10,,,,,,,,
1366,2019,4,27,27,12,6,,,,,,,,
1367,2019,4,28,27,9,11,,,,,,,,
