gameindex,year,month,day,round,hometeamindex,awayteamindex,homewinodds,drawodds,awaywinodds,superover,homeruns,awayruns,homewickets,awaywickets,homeovers,awayovers,toss,batfirst,winner
1,2011,12,16,1,7,2,1.99,,1.78,0,140,139,3,8,18.4,20,2,2,1
2,2011,12,17,1,5,8,1.71,,2.09,0,153,154,7,4,20,19,2,1,2
3,2011,12,18,1,6,3,1.73,,2.06,0,109,140,10,10,19.5,19.3,2,2,2
4,2011,12,18,1,1,4,2.01,,1.77,0,189,122,5,10,20,17.5,2,1,1
5,2011,12,20,2,2,5,2.05,,1.73,0,169,177,7,7,20,20,2,2,2
6,2011,12,21,2,3,7,1.82,,1.94,0,169,127,3,9,20,20,1,1,1
7,2011,12,22,2,4,6,1.71,,2.08,0,188,192,3,2,20,19.2,1,1,2
8,2011,12,23,2,8,1,2.08,,1.72,0,156,155,4,8,18.3,20,2,2,1
9,2011,12,27,3,7,5,2.29,,1.60,0,166,164,9,8,20,20,1,1,1
10,2011,12,28,3,1,3,1.70,,2.10,0,157,171,8,4,20,20,2,2,2
11,2011,12,29,3,6,2,1.69,,2.12,0,162,152,8,6,20,20,1,1,1
12,2011,12,30,3,8,4,2.01,,1.76,0,134,140,7,8,20,20,2,2,2
13,2012,1,1,4,3,8,1.71,,2.10,0,139,138,5,8,18.4,20,2,2,1
14,2012,1,2,4,4,7,1.66,,2.16,0,164,161,2,6,17.4,20,2,2,1
15,2012,1,3,4,2,1,2.06,,1.73,0,135,166,10,4,18,20,2,2,2
16,2012,1,4,4,5,6,1.69,,2.14,0,128,136,5,10,20,20,2,2,2
17,2012,1,6,5,2,3,2.15,,1.67,0,201,198,4,4,20,20,1,1,1
18,2012,1,7,5,5,4,1.98,,1.80,0,167,58,5,3,20,8.1,1,1,1
19,2012,1,8,5,6,1,1.79,,1.97,0,184,142,5,10,20,19.3,1,1,1
20,2012,1,8,5,8,7,1.85,,1.90,0,29,117,4,7,5.3,16,2,2,2
21,2012,1,9,6,3,5,1.81,,1.96,0,184,203,9,3,20,20,2,2,2
22,2012,1,10,6,1,7,1.71,,2.09,0,87,151,10,8,18.4,20,2,2,2
23,2012,1,11,6,8,6,1.95,,1.80,0,99,103,10,1,19.2,14.1,1,1,2
24,2012,1,12,6,4,2,1.67,,2.14,0,156,168,9,7,20,20,2,2,2
25,2012,1,17,7,2,8,1.69,,2.13,0,195,104,4,6,20,20,2,1,1
26,2012,1,18,7,7,6,1.92,,1.83,0,176,175,10,6,20,20,1,1,1
27,2012,1,18,7,3,4,1.73,,2.05,0,174,173,3,4,19.5,20,2,2,1
28,2012,1,19,7,5,1,1.66,,2.17,0,129,125,4,10,18.5,19.3,2,2,1
29,2012,1,21,,6,5,1.73,,2.05,0,174,163,3,8,20,20,1,1,1
30,2012,1,22,,3,7,1.76,,2.02,0,146,153,7,6,20,20,2,2,2
31,2012,1,28,,6,7,1.70,,2.13,0,156,158,8,3,20,18.5,1,1,2
32,2012,12,7,1,4,5,2.55,,1.49,0,168,167,2,5,18.2,20,2,2,1
33,2012,12,8,1,7,8,1.45,,2.68,0,147,143,3,5,18.4,20,1,2,1
34,2012,12,9,1,6,1,1.70,,2.10,0,162,164,6,4,20,19.2,1,1,2
35,2012,12,9,1,2,3,1.87,,1.89,0,172,175,6,2,20,19,1,1,2
36,2012,12,12,2,6,5,2.40,,1.55,0,69,29,10,0,15.2,2,2,1,2
37,2012,12,13,2,1,2,1.68,,2.15,0,185,186,8,7,20,20,2,1,2
38,2012,12,14,2,8,4,2.04,,1.75,0,116,117,7,5,20,18.2,2,1,2
39,2012,12,15,2,5,3,1.69,,2.14,0,135,134,6,8,19.1,20,1,2,1
40,2012,12,16,3,7,6,1.61,,2.32,0,113,114,9,3,20,19.2,2,1,2
41,2012,12,18,3,2,6,1.80,,2.00,0,109,51,4,1,13.1,4.2,2,1,2
42,2012,12,19,3,4,3,2.01,,1.78,0,103,102,3,9,13.2,20,1,2,1
43,2012,12,20,3,8,1,1.89,,1.87,0,126,177,10,6,18.4,20,1,2,2
44,2012,12,21,4,5,7,1.64,,2.22,0,177,156,6,5,20,20,2,1,1
45,2012,12,22,4,4,2,1.75,,2.06,0,137,133,4,7,19.1,20,2,2,1
46,2012,12,23,4,1,7,1.80,,1.99,0,136,135,1,6,15.5,20,2,2,1
47,2012,12,23,4,3,8,1.51,,2.61,0,177,147,4,9,20,20,2,1,1
48,2012,12,26,5,7,3,2.11,,1.72,0,154,158,8,3,20,19.5,2,1,2
49,2012,12,27,5,1,5,2.02,,1.78,0,167,175,4,8,20,20,2,2,2
50,2012,12,28,5,8,2,2.02,,1.77,0,126,127,10,5,20,16.4,1,1,2
51,2012,12,29,5,6,4,2.02,,1.78,0,187,136,3,10,20,19.1,2,1,1
52,2012,12,30,6,8,7,2.16,,1.69,0,132,136,6,6,20,19,1,1,2
53,2013,1,1,6,3,6,1.73,,2.08,0,153,152,4,8,18.3,20,2,2,1
54,2013,1,2,6,4,1,1.86,,1.92,0,155,107,6,10,20,18.3,2,1,1
55,2013,1,3,6,2,5,2.31,,1.60,0,171,147,5,9,20,20,2,1,1
56,2013,1,4,7,6,8,1.56,,2.39,0,117,113,1,9,13.2,20,2,2,1
57,2013,1,5,7,3,1,1.68,,2.16,0,124,162,8,4,20,20,2,2,2
58,2013,1,6,7,5,4,1.62,,2.27,0,146,147,9,1,20,18.5,1,1,2
59,2013,1,7,7,2,7,1.65,,2.20,0,127,128,9,5,20,19,1,1,2
60,2013,1,8,8,5,8,1.50,,2.56,0,145,132,8,10,20,19.4,1,1,1
61,2013,1,9,8,7,4,1.70,,2.13,0,149,178,10,5,20,20,2,2,2
62,2013,1,10,8,1,6,1.85,,1.91,0,91,189,10,4,18.3,20,2,2,2
63,2013,1,12,8,3,2,1.64,,2.20,0,150,152,3,2,20,14.1,1,1,2
64,2013,1,15,,4,2,1.64,,2.22,0,168,183,9,3,20,20,2,2,2
65,2013,1,16,,6,5,1.62,,2.22,0,142,183,2,2,13,18,1,2,1
66,2013,1,19,,6,2,1.61,,2.26,0,133,167,9,5,20,20,2,2,2
67,2013,12,20,1,5,4,1.65,,2.20,0,208,132,7,10,20,17.3,2,1,1
68,2013,12,21,1,7,8,1.86,,1.91,0,167,166,4,6,18.2,20,1,2,1
69,2013,12,22,1,2,6,1.70,,2.12,0,152,151,7,7,19.4,20,2,2,1
70,2013,12,22,1,3,1,1.74,,2.07,0,0,87,0,1,0,6,1,2,3
71,2013,12,26,2,6,4,1.79,,2.00,0,117,111,7,8,20,20,1,1,1
72,2013,12,27,2,8,1,2.34,,1.58,0,147,153,6,6,20,20,1,2,2
73,2013,12,28,2,2,3,1.65,,2.20,0,209,210,3,7,20,19.2,1,1,2
74,2013,12,29,2,7,5,2.50,,1.52,0,123,200,9,5,20,20,1,2,2
75,2013,12,30,3,4,2,2.08,,1.72,0,210,153,3,10,20,19.2,1,1,1
76,2013,12,31,3,1,6,1.68,,2.16,0,164,159,4,9,19,20,2,2,1
77,2014,1,1,3,8,5,2.95,,1.39,0,155,156,6,3,20,19.1,1,1,2
78,2014,1,1,3,3,4,1.70,,2.17,0,111,162,10,8,17.1,20,2,2,2
79,2014,1,2,4,2,7,1.67,,2.18,0,136,140,7,8,20,20,1,2,2
80,2014,1,3,4,6,8,1.68,,2.16,0,161,157,4,6,19.2,20,2,2,1
81,2014,1,4,4,4,5,2.33,,1.59,0,163,167,5,1,20,16.2,1,1,2
82,2014,1,5,4,1,7,1.66,,2.18,0,149,150,7,4,20,19.1,1,1,2
83,2014,1,7,5,6,3,1.85,,1.93,0,153,147,7,7,20,20,1,1,1
84,2014,1,8,5,8,2,2.13,,1.69,0,117,165,10,5,17.2,20,2,2,2
85,2014,1,9,5,5,1,1.47,,2.66,0,91,90,2,9,7.3,20,2,2,1
86,2014,1,10,5,7,6,1.58,,2.34,-1,153,153,9,5,20,20,2,2,2
87,2014,1,11,6,2,5,2.44,,1.55,0,144,149,7,7,20,19.4,1,1,2
88,2014,1,11,6,3,8,1.53,,2.49,0,167,94,5,10,20,16.4,1,1,1
