gameindex,year,month,day,round,hometeamindex,awayteamindex,homewinodds,drawodds,awaywinodds,superover,homeruns,awayruns,homewickets,awaywickets,homeovers,awayovers,toss,batfirst,winner
207,2017,12,19,1,8,7,2.04,,1.77,0,150,149,5,9,20,20,1,2,1
208,2017,12,20,1,2,5,2.35,,1.6,0,206,191,7,6,20,20,2,1,1
209,2017,12,21,1,3,4,2.53,,1.52,0,164,165,8,3,20,20,2,1,2
210,2017,12,22,1,1,8,1.7,,2.14,0,163,110,6,10,20,17.4,1,1,1
211,2017,12,23,2,4,2,1.49,,2.62,0,137,132,3,8,18.4,20,1,2,1
212,2017,12,23,2,7,6,1.59,,2.37,0,132,136,10,4,18.4,18.1,2,1,2
213,2017,12,26,2,6,5,2.56,,1.51,0,142,129,6,8,20,20,2,1,1
214,2017,12,27,2,2,8,1.5,,2.58,0,153,149,4,4,16.5,17,2,2,1
215,2017,12,28,3,7,1,1.77,,2.03,0,161,167,8,3,20,20,1,2,2
216,2017,12,29,3,4,6,1.58,,2.37,0,130,133,9,7,20,19,2,1,2
217,2017,12,30,3,3,8,1.8,,2,0,109,166,10,5,19.3,20,1,2,2
218,2017,12,31,3,1,2,2,,1.8,0,147,91,7,10,20,16.2,1,1,1
219,2018,1,1,4,6,7,1.61,,2.31,0,170,167,4,4,19.1,20,1,2,1
220,2018,1,1,4,8,3,1.61,,2.29,0,180,189,8,3,20,20,1,2,2
221,2018,1,2,4,5,2,1.7,,2.15,0,141,144,7,1,20,14.4,2,1,2
222,2018,1,3,4,4,7,1.45,,2.76,0,112,111,2,8,15.3,20,1,2,1
223,2018,1,4,5,3,1,2.56,,1.52,0,183,176,5,6,20,20,1,1,1
224,2018,1,5,5,2,6,1.7,,2.18,0,191,142,6,10,20,19,2,1,1
225,2018,1,6,5,5,4,2.01,,1.81,0,157,159,4,4,20,17.5,2,1,2
226,2018,1,7,5,8,1,2.21,,1.68,0,133,158,9,7,20,20,2,2,2
227,2018,1,8,6,6,4,2.01,,1.81,0,186,185,5,3,19.5,20,1,2,1
228,2018,1,8,6,3,7,1.67,,2.21,0,170,165,6,4,20,20,1,1,1
229,2018,1,9,6,1,5,1.72,,2.13,0,152,151,2,6,18.4,20,2,2,1
230,2018,1,10,6,2,3,1.74,,2.09,0,176,179,8,4,20,20,2,2,2
231,2018,1,11,7,8,6,1.91,,1.89,0,175,172,4,4,20,20,1,1,1
232,2018,1,12,7,4,5,1.78,,2.05,0,144,167,9,4,20,20,1,2,2
233,2018,1,13,7,7,8,1.91,,1.89,0,157,156,2,6,20,20,1,2,1
234,2018,1,13,7,1,6,1.72,,2.14,0,112,114,10,4,19.2,18.2,2,1,2
235,2018,1,15,8,3,2,1.77,,2.06,0,166,165,4,8,18.2,20,2,2,1
236,2018,1,16,8,5,7,1.78,,2.05,0,128,129,7,2,20,15.1,2,1,2
237,2018,1,17,8,1,3,1.78,,2.05,0,187,176,4,4,20,20,1,1,1
238,2018,1,18,8,7,2,1.59,,2.37,0,74,73,1,10,10,16.4,1,2,1
239,2018,1,20,9,6,3,1.61,,2.33,0,168,167,5,5,19.2,20,1,2,1
240,2018,1,20,9,5,8,2.11,,1.73,0,147,149,6,3,20,16.1,2,1,2
241,2018,1,22,9,4,1,2.12,,1.73,0,147,173,7,5,20,20,1,2,2
242,2018,1,23,9,7,5,1.56,,2.47,0,190,189,5,5,17.3,20,1,2,1
243,2018,1,24,10,8,4,1.96,,1.85,0,180,189,10,6,20,20,1,2,2
244,2018,1,25,10,6,1,1.7,,2.17,0,141,137,6,6,19.3,20,1,2,1
245,2018,1,27,10,2,4,1.65,,2.25,0,161,187,10,3,19.5,20,1,2,2
246,2018,1,27,10,5,3,2.43,,1.57,0,186,185,7,7,19.1,20,1,2,1
247,2018,2,1,,6,3,1.41,,2.95,0,139,210,10,4,17.5,20,1,2,2
248,2018,2,2,,1,4,1.79,,2.03,0,178,177,5,4,20,20,1,1,1
249,2018,2,4,,1,3,1.84,,1.97,0,202,177,2,5,20,20,1,1,1
