gameindex,year,month,day,round,hometeamindex,awayteamindex,homewinodds,drawodds,awayteamodds,overtime,homescore,awayscore
1408,2016,3,3,,13,8,2.61,21.99,1.53,0,4,17
1409,2016,3,4,,5,2,1.6,21.68,2.42,0,6,28
1410,2016,3,5,,14,3,1.56,21.21,2.52,0,30,22
1411,2016,3,5,,15,9,3.1,23.61,1.39,0,34,26
1412,2016,3,5,,6,16,1.41,23.6,3.01,0,20,14
1413,2016,3,6,,4,1,2.05,21.12,1.81,0,10,42
1414,2016,3,6,,10,11,1.88,20.88,1.99,0,30,12
1415,2016,3,7,,7,12,1.4,21.25,3.1,0,18,16
1416,2016,3,10,,3,2,2.37,21.22,1.63,0,16,18
1417,2016,3,11,,8,9,1.33,25.82,3.45,0,25,10
1418,2016,3,12,,14,4,1.9,19.62,1.99,0,21,20
1419,2016,3,12,,1,11,1.29,25.41,3.73,0,48,6
1420,2016,3,12,,13,6,2.29,21.4,1.68,0,20,16
1421,2016,3,13,,16,12,1.57,22.69,2.51,0,30,2
1422,2016,3,13,,7,10,1.22,30.56,4.52,0,34,16
1423,2016,3,14,,15,5,2.24,21.94,1.7,0,36,22
1424,2016,3,17,,6,4,1.25,29.35,4.05,0,40,0
1425,2016,3,18,,2,13,1.59,21.23,2.47,0,6,20
1426,2016,3,19,,11,14,2.42,21.37,1.61,-1,24,24
1427,2016,3,19,,3,8,2.94,22.69,1.44,0,23,22
1428,2016,3,19,,10,15,1.97,20.7,1.91,0,30,18
1429,2016,3,20,,9,7,1.98,20.34,1.9,0,14,21
1430,2016,3,20,,12,1,3.01,23.28,1.42,0,8,6
1431,2016,3,21,,5,16,1.97,20.3,1.9,0,22,12
1432,2016,3,25,,1,2,2.56,21.4,1.55,0,12,42
1433,2016,3,25,,8,6,1.65,21.47,2.33,-1,21,20
1434,2016,3,26,,14,10,1.53,23.17,2.62,0,20,24
1435,2016,3,26,,4,5,2.34,21.08,1.65,0,20,22
1436,2016,3,27,,12,3,1.83,21.28,2.05,0,14,12
1437,2016,3,28,,9,11,1.19,28.46,4.78,0,40,18
