gameindex,year,month,day,round,hometeamindex,awayteamindex,homewinodds,drawodds,awaywinodds,overtime,homescore,awayscore
1609,2017,3,2,,16,8,2.12,18.41,1.78,0,18,26
1610,2017,3,3,,1,15,1.75,18.78,2.17,0,18,34
1611,2017,3,3,,2,7,2.09,18.35,1.8,0,6,12
1612,2017,3,4,,10,4,2.37,19.51,1.62,0,18,32
1613,2017,3,4,,6,14,1.37,21.42,3.14,-1,20,16
1614,2017,3,4,,12,3,2.89,21.9,1.44,0,42,10
1615,2017,3,5,,5,13,1.94,17.61,1.92,0,12,20
1616,2017,3,5,,9,11,1.19,27.06,4.89,0,26,22
1617,2017,3,9,,4,2,1.45,21.06,2.87,0,28,24
1618,2017,3,10,,8,6,1.8,17.95,2.1,-1,20,21
1619,2017,3,10,,9,7,2.12,18.38,1.79,0,10,26
1620,2017,3,11,,14,16,1.44,22.45,2.92,0,16,42
1621,2017,3,11,,5,1,1.8,20.57,2.07,0,18,38
1622,2017,3,11,,11,10,2.24,19.98,1.69,0,34,26
1623,2017,3,12,,12,13,2.12,19.62,1.76,0,16,34
1624,2017,3,12,,15,3,2.04,19.21,1.85,0,2,36
1625,2017,3,16,,7,8,1.52,18.69,2.64,0,14,12
1626,2017,3,17,,10,13,2.56,19.92,1.54,0,26,14
1627,2017,3,17,,2,9,2.04,19.11,1.82,0,24,12
1628,2017,3,18,,6,5,1.28,24.4,3.76,0,8,30
1629,2017,3,18,,3,4,1.95,17.21,1.93,0,12,14
1630,2017,3,18,,11,1,2.49,20.11,1.57,0,18,24
1631,2017,3,19,,16,12,1.36,21.26,3.23,0,10,16
1632,2017,3,19,,14,15,1.34,21.83,3.39,0,46,6
1633,2017,3,23,,1,4,2.92,20.56,1.43,0,6,20
1634,2017,3,24,,8,14,1.64,19.75,2.3,0,13,12
1635,2017,3,24,,3,11,1.16,27.35,5.16,0,40,0
1636,2017,3,25,,10,6,2.28,19.91,1.66,0,26,32
1637,2017,3,25,,13,16,1.89,17.31,1.98,0,6,20
1638,2017,3,25,,5,2,1.94,17.16,1.93,0,36,0
1639,2017,3,26,,12,9,1.82,18.57,2.04,0,26,12
1640,2017,3,26,,15,7,2.68,21.54,1.5,0,14,22
1641,2017,3,30,,2,8,3.04,20.91,1.4,0,10,7
1642,2017,3,31,,6,1,1.28,22.48,3.81,0,20,6
1643,2017,3,31,,4,5,1.34,21.87,3.34,0,12,18
1644,2017,4,1,,7,3,1.58,20.23,2.46,0,28,6
1645,2017,4,1,,14,13,1.43,22.37,2.89,0,30,18
1646,2017,4,1,,16,11,1.1,29.33,7.25,0,19,18
1647,2017,4,2,,15,12,2.55,20.75,1.54,0,6,28
1648,2017,4,2,,9,10,1.4,21.12,3.05,0,28,22
1649,2017,4,6,,8,4,1.77,17.77,2.14,0,32,8
1650,2017,4,7,,3,1,1.64,19.13,2.34,0,20,21
1651,2017,4,7,,11,2,2.58,20.84,1.53,0,12,22
1652,2017,4,8,,6,15,1.16,28.11,5.39,0,16,26
1653,2017,4,8,,10,14,4.32,24.06,1.23,0,16,42
1654,2017,4,8,,5,12,1.48,20.99,2.74,0,10,35
1655,2017,4,9,,7,16,1.55,18.35,2.56,0,2,11
1656,2017,4,9,,9,13,1.68,19.43,2.25,0,22,10
1657,2017,4,14,,8,10,1.17,27.98,4.87,0,24,22
1658,2017,4,14,,11,4,4.51,24.88,1.21,0,6,24
1659,2017,4,14,,2,1,1.9,17.67,1.94,0,24,9
1660,2017,4,15,,12,6,1.33,22.4,3.36,0,28,22
1661,2017,4,15,,14,9,1.31,22.68,3.45,0,20,8
1662,2017,4,15,,5,7,2.67,19.35,1.49,0,26,30
1663,2017,4,16,,3,16,1.72,19.52,2.16,0,2,28
1664,2017,4,17,,13,15,1.62,19.32,2.33,0,26,22
1665,2017,4,21,,1,8,3.41,22.35,1.33,0,24,25
1666,2017,4,21,,14,5,1.28,23.2,3.71,0,18,20
1667,2017,4,22,,16,10,1.29,23.84,3.62,0,12,16
1668,2017,4,22,,6,11,1.29,23.6,3.67,0,24,12
1669,2017,4,22,,13,3,2.21,19.64,1.7,0,18,12
1670,2017,4,23,,15,2,2.66,20.84,1.49,0,18,12
1671,2017,4,25,,7,9,1.29,21.09,3.72,0,20,14
1672,2017,4,25,,4,12,1.63,20.03,2.32,-1,13,12
1673,2017,4,27,,8,3,1.47,21.02,2.74,0,32,18
1674,2017,4,28,,6,13,1.8,20.47,2.05,0,6,26
1675,2017,4,28,,1,5,2.15,20.53,1.72,0,8,46
1676,2017,4,29,,15,16,2.69,20.73,1.48,0,16,22
1677,2017,4,29,,2,14,2.68,20.88,1.49,0,16,10
1678,2017,4,29,,10,11,1.18,27.66,4.86,0,38,8
1679,2017,4,30,,12,7,2.78,22.01,1.45,0,22,34
1680,2017,4,30,,9,4,2.08,20.27,1.77,0,14,13
1681,2017,5,11,,2,6,1.54,20.78,2.53,0,14,30
1682,2017,5,12,,15,1,2.02,19.66,1.83,0,8,28
1683,2017,5,12,,12,16,2.87,22.17,1.44,0,14,18
1684,2017,5,13,,5,8,2.35,19.99,1.62,0,14,24
