gameindex,year,month,day,round,hometeamindex,awayteamindex,homewinodds,drawodds,awaywinodds,overtime,homescore,awayscore
1989,2019,3,14,1,7,8,,,,,,
1990,2019,3,15,1,11,16,,,,,,
1991,2019,3,15,1,4,1,,,,,,
1992,2019,3,16,1,9,2,,,,,,
1993,2019,3,16,1,15,5,,,,,,
1994,2019,3,16,1,6,12,,,,,,
1995,2019,3,17,1,3,13,,,,,,
1996,2019,3,17,1,10,14,,,,,,
1997,2019,3,21,2,12,1,,,,,,
1998,2019,3,22,2,14,7,,,,,,
1999,2019,3,22,2,8,6,,,,,,
2000,2019,3,23,2,16,10,,,,,,
2001,2019,3,23,2,11,3,,,,,,
2002,2019,3,23,2,5,4,,,,,,
2003,2019,3,24,2,2,13,,,,,,
2004,2019,3,24,2,15,9,,,,,,
2005,2019,3,28,3,8,12,,,,,,
2006,2019,3,29,3,14,11,,,,,,
2007,2019,3,29,3,13,4,,,,,,
2008,2019,3,30,3,5,9,,,,,,
2009,2019,3,30,3,6,16,,,,,,
2010,2019,3,30,3,3,7,,,,,,
2011,2019,3,31,3,15,2,,,,,,
2012,2019,3,31,3,1,10,,,,,,
2013,2019,4,4,4,4,8,,,,,,
2014,2019,4,5,4,9,10,,,,,,
2015,2019,4,5,4,3,15,,,,,,
2016,2019,4,6,4,5,1,,,,,,
2017,2019,4,6,4,6,14,,,,,,
2018,2019,4,6,4,13,16,,,,,,
2019,2019,4,7,4,7,2,,,,,,
2020,2019,4,7,4,11,12,,,,,,
2021,2019,4,11,5,8,15,,,,,,
2022,2019,4,12,5,10,3,,,,,,
2023,2019,4,12,5,6,7,,,,,,
2024,2019,4,13,5,1,9,,,,,,
2025,2019,4,13,5,11,5,,,,,,
2026,2019,4,13,5,16,4,,,,,,
2027,2019,4,14,5,12,2,,,,,,
2028,2019,4,14,5,14,13,,,,,,
2029,2019,4,18,6,16,3,,,,,,
2030,2019,4,19,6,2,1,,,,,,
2031,2019,4,19,6,7,4,,,,,,
2032,2019,4,20,6,9,6,,,,,,
2033,2019,4,20,6,12,5,,,,,,
2034,2019,4,21,6,10,11,,,,,,
