gameindex,year,month,day,round,hometeamindex,awayteamindex,homewinodds,drawodds,awayteamodds,overtime,homescore,awayscore
187,2011,2,18,,9,8,1.13,28.50,5.56,,9,14
188,2011,2,18,,13,18,3.44,22.50,1.31,,0,43
189,2011,2,19,,1,6,2.04,18.92,1.78,,24,22
190,2011,2,19,,2,5,1.67,18.92,2.20,,28,20
191,2011,2,19,,15,4,1.14,27.14,5.21,,24,9
192,2011,2,19,,12,3,5.38,28.17,1.13,,20,24
193,2011,2,20,,14,7,1.17,25.00,4.74,,21,20
194,2011,2,25,,8,5,2.41,18.92,1.57,,23,13
195,2011,2,25,,13,2,5.68,27.33,1.13,,25,24
196,2011,2,25,,4,3,5.77,28.29,1.12,,23,25
197,2011,2,26,,9,6,0.00,0.00,0.00,,0,0
198,2011,2,26,,18,14,1.36,21.17,3.07,,30,6
199,2011,2,26,,15,1,1.53,18.92,2.49,,26,12
200,2011,2,26,,16,12,1.18,25.00,4.56,,19,16
201,2011,3,4,,6,18,1.48,19.83,2.62,,33,18
202,2011,3,4,,12,1,2.22,18.79,1.64,,32,41
203,2011,3,5,,5,13,1.13,27.71,5.35,,38,10
204,2011,3,5,,2,14,1.41,20.43,2.85,,25,31
205,2011,3,5,,7,15,2.30,18.83,1.61,,12,39
206,2011,3,5,,16,4,1.17,25.14,4.69,,21,15
207,2011,3,5,,3,8,1.12,28.57,5.83,,28,35
208,2011,3,11,,6,2,1.08,30.25,7.12,,52,10
209,2011,3,11,,13,15,4.66,24.13,1.18,,32,34
210,2011,3,11,,16,8,1.39,20.75,2.95,,18,6
211,2011,3,12,,9,5,1.51,20.25,2.52,,29,26
212,2011,3,12,,7,1,3.28,22.13,1.32,,22,22
213,2011,3,12,,4,12,1.73,18.44,2.09,,20,25
214,2011,3,18,,5,15,1.75,18.94,2.06,,15,9
215,2011,3,18,,14,13,1.08,30.13,7.01,,53,3
216,2011,3,19,,8,6,4.31,24.00,1.20,,13,44
217,2011,3,19,,1,9,1.55,19.44,2.42,,41,17
218,2011,3,19,,18,4,1.03,33.86,9.54,,3,23
219,2011,3,19,,12,7,1.57,19.31,2.36,,15,27
220,2011,3,19,,3,16,1.52,19.31,2.51,,13,23
221,2011,3,25,,13,9,4.43,24.25,1.19,,42,25
222,2011,3,26,,14,4,1.07,31.13,7.11,,41,8
223,2011,3,26,,5,1,2.05,18.44,1.77,,13,16
224,2011,3,26,,2,18,2.26,19.19,1.63,,22,29
225,2011,3,26,,16,7,1.18,24.75,4.59,,51,16
226,2011,3,26,,3,12,1.16,26.00,4.89,,30,23
227,2011,3,27,,6,15,1.18,23.50,4.53,,44,28
228,2011,4,1,,8,2,1.38,20.78,2.99,,26,20
229,2011,4,1,,18,5,1.37,21.00,3.06,,23,16
230,2011,4,2,,1,4,1.01,37.13,12.13,,29,22
231,2011,4,2,,9,3,1.58,18.81,2.33,,14,26
232,2011,4,2,,7,13,1.20,23.75,4.29,,25,26
233,2011,4,2,,12,14,2.90,21.00,1.40,,25,30
234,2011,4,2,,15,16,1.98,18.50,1.82,,6,16
235,2011,4,8,,8,4,1.13,26.50,5.38,,24,21
236,2011,4,9,,6,3,1.25,22.13,3.78,,27,0
237,2011,4,9,,2,9,1.67,18.56,2.19,,17,16
238,2011,4,9,,7,18,2.78,20.25,1.42,,3,31
239,2011,4,9,,16,14,1.26,21.13,3.72,,6,19
240,2011,4,9,,15,12,1.18,24.50,4.54,,27,3
241,2011,4,15,,5,6,4.18,24.13,1.21,,16,34
242,2011,4,15,,13,8,2.18,18.56,1.68,,18,40
243,2011,4,16,,1,18,1.39,20.75,2.91,,31,17
244,2011,4,16,,14,3,1.36,21.13,3.08,,39,30
245,2011,4,16,,12,16,4.27,23.38,1.20,,19,33
