gameindex,year,month,day,round,hometeamindex,awayteamindex,homewinodds,drawodds,awayteamodds,overtime,homescore,awayscore
1246,2019,3,10,4,12,10,,,,,,
1247,2019,3,10,4,3,15,,,,,,
1248,2019,3,15,5,5,9,,,,,,
1249,2019,3,15,5,2,18,,,,,,
1250,2019,3,16,5,16,10,,,,,,
1251,2019,3,16,5,17,14,,,,,,
1252,2019,3,16,5,8,6,,,,,,
1253,2019,3,17,5,12,13,,,,,,
1254,2019,3,22,6,1,8,,,,,,
1255,2019,3,23,6,9,16,,,,,,
1256,2019,3,23,6,18,6,,,,,,
1257,2019,3,23,6,17,12,,,,,,
1258,2019,3,24,6,3,5,,,,,,
1259,2019,3,24,6,15,13,,,,,,
1260,2019,3,24,6,14,2,,,,,,
1261,2019,3,29,7,9,6,,,,,,
1262,2019,3,29,7,18,17,,,,,,
1263,2019,3,30,7,1,16,,,,,,
1264,2019,3,30,7,14,13,,,,,,
1265,2019,3,31,7,15,3,,,,,,
1266,2019,3,31,7,10,5,,,,,,
1267,2019,4,5,8,8,9,,,,,,
1268,2019,4,5,8,14,16,,,,,,
1269,2019,4,6,8,12,15,,,,,,
1270,2019,4,6,8,6,2,,,,,,
1271,2019,4,6,8,1,18,,,,,,
1272,2019,4,6,8,13,17,,,,,,
1273,2019,4,7,8,3,10,,,,,,
1274,2019,4,12,9,6,8,,,,,,
1275,2019,4,12,9,13,16,,,,,,
1276,2019,4,13,9,5,1,,,,,,
1277,2019,4,13,9,2,12,,,,,,
1278,2019,4,13,9,15,10,,,,,,
1279,2019,4,14,9,3,14,,,,,,
1280,2019,4,19,10,5,12,,,,,,
1281,2019,4,19,10,17,9,,,,,,
1282,2019,4,19,10,15,14,,,,,,
1283,2019,4,20,10,8,1,,,,,,
1284,2019,4,20,10,18,13,,,,,,
1285,2019,4,20,10,16,2,,,,,,
1286,2019,4,26,11,6,12,,,,,,
1287,2019,4,26,11,17,8,,,,,,
1288,2019,4,27,11,9,5,,,,,,
1289,2019,4,27,11,18,15,,,,,,
1290,2019,4,27,11,16,3,,,,,,
1291,2019,4,28,11,10,2,,,,,,
1292,2019,5,3,12,6,15,,,,,,
1293,2019,5,3,12,14,17,,,,,,
1294,2019,5,4,12,9,13,,,,,,
1295,2019,5,4,12,8,5,,,,,,
1296,2019,5,4,12,2,1,,,,,,
1297,2019,5,4,12,3,18,,,,,,
1298,2019,5,5,12,10,16,,,,,,
1299,2019,5,10,13,1,9,,,,,,
1300,2019,5,10,13,13,14,,,,,,
1301,2019,5,11,13,3,6,,,,,,
1302,2019,5,11,13,8,10,,,,,,
1303,2019,5,11,13,5,15,,,,,,
1304,2019,5,11,13,12,18,,,,,,
1305,2019,5,12,13,2,17,,,,,,
1306,2019,5,17,14,9,10,,,,,,
1307,2019,5,17,14,13,3,,,,,,
1308,2019,5,18,14,1,5,,,,,,
1309,2019,5,18,14,14,18,,,,,,
1310,2019,5,18,14,12,8,,,,,,
1311,2019,5,19,14,16,6,,,,,,
1312,2019,5,24,15,5,14,,,,,,
1313,2019,5,24,15,2,3,,,,,,
1314,2019,5,25,15,17,13,,,,,,
1315,2019,5,25,15,6,1,,,,,,
1316,2019,5,25,15,18,10,,,,,,
1317,2019,5,25,15,16,8,,,,,,
1318,2019,5,26,15,15,12,,,,,,
1319,2019,5,31,16,1,3,,,,,,
1320,2019,5,31,16,13,18,,,,,,
1321,2019,6,1,16,17,2,,,,,,
1322,2019,6,1,16,5,6,,,,,,
1323,2019,6,1,16,14,10,,,,,,
1324,2019,6,1,16,15,9,,,,,,
1325,2019,6,2,16,12,16,,,,,,
1326,2019,6,7,17,8,3,,,,,,
1327,2019,6,7,17,14,1,,,,,,
1328,2019,6,8,17,6,13,,,,,,
1329,2019,6,8,17,18,2,,,,,,
1330,2019,6,8,17,12,9,,,,,,
1331,2019,6,9,17,16,17,,,,,,
1332,2019,6,9,17,10,15,,,,,,
1333,2019,6,14,18,8,18,,,,,,
1334,2019,6,14,18,13,5,,,,,,
1335,2019,6,15,18,10,17,,,,,,
1336,2019,6,15,18,9,1,,,,,,
1337,2019,6,15,18,2,14,,,,,,
1338,2019,6,15,18,16,15,,,,,,
1339,2019,6,16,18,3,12,,,,,,
